benchmark,oos_start,oos_end,portfolio_return_pct,benchmark_return_pct,excess_return_pct,sharpe,benchmark_sharpe,max_drawdown_pct,terminal_equity,n_trades,win_rate_pct,total_txn_costs,trade_txn_costs
SPY,2026-01-02,2026-06-12,30.2742,8.5199,21.7543,3.2975,1.3968,-6.6651,130274.24,225,60.4444,5972.45,5916.42
QQQ,2026-01-02,2026-06-12,27.3641,17.5912,9.7729,2.9321,1.9447,-6.3585,127364.11,223,66.8161,5973.48,5914.59
